Symbol,Name,
MO,"Altria Group, Inc.",
ANDE,"Andersons, Inc.",
ADM,Archer-Daniels-Midland Company,
BGS,"B&G Foods, Inc.",
BRBR,"BellRing Brands, Inc.",
BJ,"BJ's Wholesale Club Holdings, Inc.",
SAM,"Boston Beer Company, Inc. Class A",
BF.B,Brown-Forman Corporation Class B,
BG,Bunge Global SA,
CALM,"Cal-Maine Foods, Inc.",
CPB,Campbell Soup Company,
CASY,"Casey's General Stores, Inc.",
CELH,"Celsius Holdings, Inc.",
CENT,Central Garden & Pet Company,
CHEF,"Chefs' Warehouse, Inc.",
CHD,"Church & Dwight Co., Inc.",
CLX,Clorox Company,
KO,Coca-Cola Company,
COKE,"Coca-Cola Consolidated, Inc.",
CL,Colgate-Palmolive Company,
CAG,"Conagra Brands, Inc.",
STZ,"Constellation Brands, Inc. Class A",
COST,Costco Wholesale Corporation,
COTY,Coty Inc. Class A,
DAR,Darling Ingredients Inc,
DG,Dollar General Corporation,
DLTR,"Dollar Tree, Inc.",
ELF,"e.l.f. Beauty, Inc.",
EPC,Edgewell Personal Care Co.,
ENR,"Energizer Holdings, Inc.",
EL,Estee Lauder Companies Inc. Class A,
FLO,"Flowers Foods, Inc.",
FDP,Fresh Del Monte Produce Inc.,
GIS,"General Mills, Inc.",
GO,Grocery Outlet Holding Corp.,
HAIN,"Hain Celestial Group, Inc.",
HSY,Hershey Company,
HRL,Hormel Foods Corporation,
INGR,Ingredion Incorporated,
IPAR,"Interparfums, Inc.",
JJSF,J & J Snack Foods Corp.,
SJM,J.M. Smucker Company,
JBSS,"John B. Sanfilippo & Son, Inc.",
K,Kellanova,
KVUE,"Kenvue, Inc.",
KDP,Keurig Dr Pepper Inc.,
KMB,Kimberly-Clark Corporation,
KHC,Kraft Heinz Company,
KR,Kroger Co.,
LW,"Lamb Weston Holdings, Inc.",
LANC,Lancaster Colony Corporation,
MKC,"McCormick & Company, Incorporated",
MGPI,"MGP Ingredients, Inc.",
TAP,Molson Coors Beverage Company Class B,
MDLZ,"Mondelez International, Inc. Class A",
MNST,Monster Beverage Corporation,
FIZZ,National Beverage Corp.,
PEP,"PepsiCo, Inc.",
PFGC,Performance Food Group Co,
PM,Philip Morris International Inc.,
PPC,Pilgrim's Pride Corporation,
POST,"Post Holdings, Inc.",
PSMT,"PriceSmart, Inc.",
PG,Procter & Gamble Company,
SMPL,Simply Good Foods Co,
SPTN,SpartanNash Company,
SFM,"Sprouts Farmers Market, Inc.",
SYY,Sysco Corporation,
TGT,Target Corporation,
TR,"Tootsie Roll Industries, Inc.",
THS,"TreeHouse Foods, Inc.",
TSN,"Tyson Foods, Inc. Class A",
UNFI,"United Natural Foods, Inc.",
UVV,Universal Corp,
USFD,US Foods Holding Corp.,
USNA,"USANA Health Sciences, Inc.",
WBA,"Walgreens Boots Alliance, Inc.",
WMT,Walmart Inc.,
WDFC,WD-40 Company,
KLG,WK Kellogg Co,
