Symbol,Name,
,,
AM,Antero Midstream Corp.,
AR,Antero Resources Corporation,
APA,APA Corporation,
AROC,Archrock Inc.,
BKR,Baker Hughes Company Class A,
VTOL,Bristow Group Inc,
WHD,"Cactus, Inc. Class A",
CRC,California Resources Corp,
CHX,ChampionX Corporation,
CVX,Chevron Corporation,
CHRD,Chord Energy Corporation,
CIVI,"Civitas Resources, Inc.",
CNX,CNX Resources Corporation,
CRK,"Comstock Resources, Inc.",
COP,ConocoPhillips,
CEIX,CONSOL Energy Inc,
CLB,Core Laboratories Inc.,
CTRA,Coterra Energy Inc.,
CRGY,Crescent Energy Company Class A,
CVI,"CVR Energy, Inc.",
DVN,Devon Energy Corporation,
FANG,"Diamondback Energy, Inc.",
LPG,Dorian LPG Ltd.,
DTM,"DT Midstream, Inc.",
EOG,"EOG Resources, Inc.",
EQT,EQT Corporation,
EXE,Expand Energy Corporation,
XOM,Exxon Mobil Corporation,
GPRE,Green Plains Inc.,
HAL,Halliburton Company,
HLX,"Helix Energy Solutions Group, Inc.",
HP,"Helmerich & Payne, Inc.",
HES,Hess Corporation,
DINO,HF Sinclair Corporation,
INVX,"Innovex International, Inc.",
KMI,Kinder Morgan Inc Class P,
LBRT,"Liberty Energy, Inc. Class A",
MGY,Magnolia Oil & Gas Corp. Class A,
MRO,Marathon Oil Corporation,
MPC,Marathon Petroleum Corporation,
MTDR,Matador Resources Company,
MUR,Murphy Oil Corporation,
NBR,Nabors Industries Ltd.,
NOG,"Northern Oil and Gas, Inc.",
NOV,NOV Inc.,
OXY,Occidental Petroleum Corporation,
OII,"Oceaneering International, Inc.",
OKE,"ONEOK, Inc.",
OVV,Ovintiv Inc,
PARR,Par Pacific Holdings Inc,
PTEN,"Patterson-UTI Energy, Inc.",
PBF,"PBF Energy, Inc. Class A",
BTU,Peabody Energy Corporation,
PR,Permian Resources Corporation Class A,
PSX,Phillips 66,
PUMP,ProPetro Holding Corp.,
RRC,Range Resources Corporation,
REX,REX American Resources Corporation,
RES,"RPC, Inc.",
SLB,Schlumberger Limited,
SM,SM Energy Company,
TALO,"Talos Energy, Inc.",
TRGP,Targa Resources Corp.,
TPL,Texas Pacific Land Corporation,
TDW,Tidewater Inc,
VAL,Valaris Ltd.,
VLO,Valero Energy Corporation,
VNOM,"Viper Energy, Inc.",
VTLE,"Vital Energy, Inc.",
WFRD,Weatherford International plc,
WMB,"Williams Companies, Inc.",
WKC,World Kinect Corporation,
