Symbol,Name,
ABT,Abbott Laboratories,
ABBV,"AbbVie, Inc.",
ACHC,"Acadia Healthcare Company, Inc.",
AHCO,AdaptHealth Corp.,
ADUS,Addus HomeCare Corporation,
ADMA,"ADMA Biologics, Inc.",
A,"Agilent Technologies, Inc.",
ALGN,"Align Technology, Inc.",
ALKS,Alkermes Public Limited Company,
AMED,"Amedisys, Inc.",
AMGN,Amgen Inc.,
AMN,"AMN Healthcare Services, Inc.",
AMPH,"Amphastar Pharmaceuticals, Inc.",
ANIP,"ANI Pharmaceuticals, Inc.",
RCUS,"Arcus Biosciences, Inc.",
ARWR,"Arrowhead Pharmaceuticals, Inc.",
AORT,"Artivion, Inc.",
ASTH,Astrana Health Inc.,
AVNS,"Avanos Medical, Inc.",
AVTR,"Avantor, Inc.",
AZTA,"Azenta, Inc.",
BAX,Baxter International Inc.,
BDX,"Becton, Dickinson and Company",
BIO,"Bio-Rad Laboratories, Inc. Class A",
TECH,Bio-Techne Corporation,
BIIB,Biogen Inc.,
BLFS,"BioLife Solutions, Inc.",
BMRN,BioMarin Pharmaceutical Inc.,
BSX,Boston Scientific Corporation,
BMY,Bristol-Myers Squibb Company,
BRKR,Bruker Corporation,
CAH,"Cardinal Health, Inc.",
CTLT,Catalent Inc,
CPRX,"Catalyst Pharmaceuticals, Inc.",
COR,"Cencora, Inc.",
CNC,Centene Corporation,
CERT,"Certara, Inc.",
CRL,"Charles River Laboratories International, Inc.",
CHE,Chemed Corporation,
CI,Cigna Group,
COLL,"Collegium Pharmaceutical, Inc.",
CNMD,CONMED Corporation,
COO,"Cooper Companies, Inc.",
CORT,Corcept Therapeutics Incorporated.,
CRVL,CorVel Corporation,
CVS,CVS Health Corporation,
CTKB,"Cytek Biosciences, Inc.",
CYTK,"Cytokinetics, Incorporated",
DHR,Danaher Corporation,
DVA,DaVita Inc.,
XRAY,"DENTSPLY SIRONA, Inc.",
DXCM,"DexCom, Inc.",
DOCS,"Doximity, Inc. Class A",
DVAX,Dynavax Technologies Corporation,
EW,Edwards Lifesciences Corporation,
ELV,"Elevance Health, Inc.",
LLY,Eli Lilly and Company,
EMBC,Embecta Corporation,
EHC,Encompass Health Corporation,
ENOV,Enovis Corporation,
ENSG,"Ensign Group, Inc.",
NVST,Envista Holdings Corp.,
EXEL,"Exelixis, Inc.",
FTRE,Fortrea Holdings Inc.,
FLGT,"Fulgent Genetics, Inc.",
GEHC,GE Healthcare Technologies Inc.,
GILD,"Gilead Sciences, Inc.",
GKOS,Glaukos Corp,
GMED,Globus Medical Inc Class A,
HAE,Haemonetics Corporation,
HALO,"Halozyme Therapeutics, Inc.",
HRMY,"Harmony Biosciences Holdings, Inc.",
HCA,HCA Healthcare Inc,
HQY,HealthEquity Inc,
HSTM,"HealthStream, Inc.",
HSIC,"Henry Schein, Inc.",
HIMS,"Hims & Hers Health, Inc. Class A",
HOLX,"Hologic, Inc.",
