Symbol,Name,
,,
AKR,Acadia Realty Trust,
ADC,Agree Realty Corporation,
ALEX,"Alexander & Baldwin, Inc.",
ARE,"Alexandria Real Estate Equities, Inc.",
AAT,"American Assets Trust, Inc.",
AMH,American Homes 4 Rent Class A,
AMT,American Tower Corporation,
APLE,Apple Hospitality REIT Inc,
AHH,"Armada Hoffler Properties, Inc.",
AVB,"AvalonBay Communities, Inc.",
BDN,Brandywine Realty Trust,
BRX,"Brixmor Property Group, Inc.",
BXP,BXP Inc,
CPT,Camden Property Trust,
CTRE,"CareTrust REIT, Inc.",
CBRE,"CBRE Group, Inc. Class A",
CSR,Centerspace,
CDP,COPT Defense Properties,
CSGP,"CoStar Group, Inc.",
CUZ,Cousins Properties Incorporated,
CCI,Crown Castle Inc.,
CUBE,CubeSmart,
CURB,Curbline Properties Corp.,
CWK,Cushman & Wakefield Plc,
DRH,DiamondRock Hospitality Company,
DLR,"Digital Realty Trust, Inc.",
DEI,"Douglas Emmett, Inc",
DEA,Easterly Government Properties Inc,
EGP,"EastGroup Properties, Inc.",
ELME,Elme Communities,
EPR,EPR Properties,
EQIX,"Equinix, Inc.",
ELS,"Equity LifeStyle Properties, Inc.",
EQR,Equity Residential,
EPRT,"Essential Properties Realty Trust, Inc.",
ESS,"Essex Property Trust, Inc.",
EXPI,"eXp World Holdings, Inc.",
EXR,Extra Space Storage Inc.,
FRT,Federal Realty Investment Trust,
FR,"First Industrial Realty Trust, Inc.",
FCPT,"Four Corners Property Trust, Inc.",
GLPI,"Gaming and Leisure Properties, Inc.",
GTY,Getty Realty Corp.,
GNL,Global Net Lease Inc,
HR,Healthcare Realty Trust Incorporated Class A,
DOC,"Healthpeak Properties, Inc.",
HIW,"Highwoods Properties, Inc.",
HST,"Host Hotels & Resorts, Inc.",
HPP,"Hudson Pacific Properties, Inc.",
IRT,"Independence Realty Trust, Inc.",
IIPR,Innovative Industrial Properties Inc,
INVH,"Invitation Homes, Inc.",
IRM,"Iron Mountain, Inc.",
JBGS,JBG SMITH Properties,
JLL,Jones Lang LaSalle Incorporated,
KW,"Kennedy-Wilson Holdings, Inc.",
KRC,Kilroy Realty Corporation,
KIM,Kimco Realty Corporation,
KRG,Kite Realty Group Trust,
LAMR,Lamar Advertising Company Class A,
LTC,"LTC Properties, Inc.",
LXP,LXP Industrial Trust,
MAC,Macerich Company,
MMI,"Marcus & Millichap, Inc.",
MPW,"Medical Properties Trust, Inc.",
MAA,"Mid-America Apartment Communities, Inc.",
NSA,National Storage Affiliates Trust,
NXRT,"NexPoint Residential Trust, Inc.",
NNN,"NNN REIT, Inc.",
OHI,"Omega Healthcare Investors, Inc.",
OUT,OUTFRONT Media Inc.,
PK,"Park Hotels & Resorts, Inc.",
PEB,Pebblebrook Hotel Trust,
PECO,"Phillips Edison & Company, Inc.",
PCH,PotlatchDeltic Corporation,
PLD,"Prologis, Inc.",
PSA,Public Storage,
RYN,Rayonier Inc.,
O,Realty Income Corporation,
REG,Regency Centers Corporation,
ROIC,Retail Opportunity Investments Corp.,
REXR,"Rexford Industrial Realty, Inc.",
SBRA,"Sabra Health Care REIT, Inc.",
SAFE,Safehold Inc.,
BFS,"Saul Centers, Inc.",
SBAC,SBA Communications Corp. Class A,
SVC,Service Properties Trust,
SPG,"Simon Property Group, Inc.",
SITC,SITE Centers Corp.,
SLG,SL Green Realty Corp.,
JOE,St. Joe Company,
STAG,"STAG Industrial, Inc.",
INN,"Summit Hotel Properties, Inc.",
SHO,"Sunstone Hotel Investors, Inc.",
SKT,Tanger Inc.,
UDR,"UDR, Inc.",
UNIT,Uniti Group Inc.,
UHT,Universal Health Realty Income Trust,
UE,Urban Edge Properties,
VTR,"Ventas, Inc.",
VRE,"Veris Residential, Inc.",
VICI,VICI Properties Inc,
VNO,Vornado Realty Trust,
WPC,W. P. Carey Inc.,
WELL,Welltower Inc.,
WY,Weyerhaeuser Company,
WSR,Whitestone REIT,
XHR,"Xenia Hotels & Resorts, Inc.",
