Symbol,Name,
,,
AES,AES Corporation,
ALE,"ALLETE, Inc.",
LNT,Alliant Energy Corporation,
GOOGL,Alphabet Inc. Class A,
AEE,Ameren Corporation,
AEP,"American Electric Power Company, Inc.",
AWR,American States Water Company,
AWK,"American Water Works Company, Inc.",
T,AT&T Inc.,
ATO,Atmos Energy Corporation,
AVA,Avista Corporation,
BKH,Black Hills Corporation,
CABO,"Cable One, Inc.",
CWT,California Water Service Group,
CARG,"CarGurus, Inc. Class A",
CARS,"Cars.com, Inc.",
CNP,"CenterPoint Energy, Inc.",
CHTR,"Charter Communications, Inc. Class A",
CPK,Chesapeake Utilities Corporation,
CNK,"Cinemark Holdings, Inc.",
CWEN,"Clearway Energy, Inc. Class C",
CMS,CMS Energy Corporation,
CCOI,Cogent Communications Holdings Inc,
CMCSA,Comcast Corporation Class A,
CNSL,"Consolidated Communications Holdings, Inc.",
ED,"Consolidated Edison, Inc.",
CEG,Constellation Energy Corporation,
D,Dominion Energy Inc,
DTE,DTE Energy Company,
DUK,Duke Energy Corporation,
SATS,EchoStar Corporation Class A,
EIX,Edison International,
EA,Electronic Arts Inc.,
ETR,Entergy Corporation,
WTRG,"Essential Utilities, Inc.",
EVRG,"Evergy, Inc.",
ES,Eversource Energy,
EXC,Exelon Corporation,
FE,FirstEnergy Corp.,
FOXA,Fox Corporation Class A,
FYBR,"Frontier Communications Parent, Inc.",
GOGO,Gogo Inc.,
IAC,IAC Inc.,
IDA,"IDACORP, Inc.",
IPG,"Interpublic Group of Companies, Inc.",
IRDM,Iridium Communications Inc.,
WLY,"John Wiley & Sons, Inc. Class A",
LYV,"Live Nation Entertainment, Inc.",
LUMN,"Lumen Technologies, Inc.",
MSGS,Madison Square Garden Sports Corp. Class A,
MTCH,"Match Group, Inc.",
META,Meta Platforms Inc Class A,
MGEE,"MGE Energy, Inc.",
MSEX,Middlesex Water Company,
NFG,National Fuel Gas Company,
NFLX,"Netflix, Inc.",
NJR,New Jersey Resources Corporation,
NYT,New York Times Company Class A,
NWSA,News Corporation Class A,
NXST,"Nexstar Media Group, Inc.",
NEE,"NextEra Energy, Inc.",
NI,NiSource Inc,
NWN,Northwest Natural Holding Co.,
NWE,"NorthWestern Energy Group, Inc.",
NRG,"NRG Energy, Inc.",
OGE,OGE Energy Corp.,
OMC,Omnicom Group Inc,
OGS,"ONE Gas, Inc.",
ORA,"Ormat Technologies, Inc.",
OTTR,Otter Tail Corporation,
PARA,Paramount Global Class B,
PCG,PG&E Corporation,
PNW,Pinnacle West Capital Corporation,
POR,Portland General Electric Company,
PPL,PPL Corporation,
PEG,Public Service Enterprise Group Inc,
QNST,"QuinStreet, Inc.",
SCHL,Scholastic Corporation,
SRE,Sempra,
SHEN,Shenandoah Telecommunications Company,
SSTK,"Shutterstock, Inc.",
SJW,SJW Group,
SO,Southern Company,
SWX,"Southwest Gas Holdings, Inc.",
SR,Spire Inc.,
TMUS,"T-Mobile US, Inc.",
TTWO,"Take-Two Interactive Software, Inc.",
TTGT,"TechTarget, Inc.",
TGNA,"TEGNA, Inc.",
TDS,"Telephone and Data Systems, Inc.",
THRY,"Thryv Holdings, Inc.",
TKO,"TKO Group Holdings, Inc. Class A",
TRIP,"TripAdvisor, Inc.",
TXNM,"TXNM Energy, Inc.",
UGI,UGI Corporation,
UTL,Unitil Corporation,
VZ,Verizon Communications Inc.,
VST,Vistra Corp.,
DIS,Walt Disney Company,
WBD,"Warner Bros. Discovery, Inc. Series A",
WMG,Warner Music Group Corp. Class A,
WEC,WEC Energy Group Inc,
XEL,Xcel Energy Inc.,
YELP,Yelp Inc,
ZD,"Ziff Davis, Inc.",
ZI,ZoomInfo Technologies Inc,
